BeneficiaryID,Name,Age,Gender,City,Program,Year,Month,Income_Group,Donation_Received,Volunteers,Outcome
1,Beneficiary_1,43,Male,Varanasi,Clothing,2021,Jul,Below Poverty Line,1484,12,Successful
2,Beneficiary_2,56,Female,Agra,Education,2022,Mar,Below Poverty Line,6276,5,Ongoing
3,Beneficiary_3,33,Female,Varanasi,Food Distribution,2022,Nov,Low Income,4176,2,Needs Follow-up
4,Beneficiary_4,19,Male,Kanpur,Clothing,2024,Aug,Below Poverty Line,3880,16,Ongoing
5,Beneficiary_5,47,Male,Agra,Education,2022,Mar,Below Poverty Line,9211,5,Needs Follow-up
6,Beneficiary_6,12,Female,Varanasi,Food Distribution,2021,Jan,Low Income,9282,15,Successful
7,Beneficiary_7,25,Female,Agra,Food Distribution,2023,Aug,Low Income,1550,12,Successful
8,Beneficiary_8,43,Female,Ghaziabad,Health,2022,Mar,Low Income,4133,4,Successful
9,Beneficiary_9,23,Female,Ghaziabad,Education,2024,Feb,Middle Income,6842,15,Successful
10,Beneficiary_10,27,Male,Varanasi,Education,2022,Jan,Middle Income,1459,11,Ongoing
11,Beneficiary_11,15,Female,Agra,Clothing,2021,Mar,Low Income,6559,16,Ongoing
12,Beneficiary_12,15,Female,Kanpur,Health,2024,Feb,Low Income,9384,6,Successful
13,Beneficiary_13,28,Male,Varanasi,Health,2022,Feb,Low Income,6155,14,Successful
14,Beneficiary_14,57,Female,Ghaziabad,Health,2024,Jun,Middle Income,4973,18,Successful
15,Beneficiary_15,40,Male,Ghaziabad,Health,2021,Dec,Middle Income,3446,12,Ongoing
16,Beneficiary_16,44,Female,Varanasi,Education,2023,Jan,Below Poverty Line,8225,11,Successful
17,Beneficiary_17,28,Female,Agra,Education,2021,Feb,Below Poverty Line,1026,13,Successful
18,Beneficiary_18,7,Female,Ghaziabad,Food Distribution,2021,Jun,Low Income,3724,11,Successful
19,Beneficiary_19,26,Male,Agra,Food Distribution,2021,Mar,Middle Income,2375,16,Needs Follow-up
20,Beneficiary_20,57,Male,Ghaziabad,Health,2021,Apr,Middle Income,2263,15,Successful
21,Beneficiary_21,6,Female,Ghaziabad,Health,2023,Jan,Middle Income,9212,15,Needs Follow-up
22,Beneficiary_22,28,Male,Lucknow,Health,2023,Aug,Low Income,6297,4,Needs Follow-up
23,Beneficiary_23,48,Male,Ghaziabad,Food Distribution,2024,Jul,Below Poverty Line,9708,11,Successful
24,Beneficiary_24,34,Male,Kanpur,Clothing,2022,Jul,Low Income,7599,19,Needs Follow-up
25,Beneficiary_25,42,Male,Varanasi,Clothing,2023,Mar,Below Poverty Line,5609,15,Successful
26,Beneficiary_26,6,Male,Varanasi,Food Distribution,2023,Oct,Below Poverty Line,7144,4,Ongoing
27,Beneficiary_27,25,Male,Agra,Food Distribution,2022,Oct,Low Income,616,13,Ongoing
28,Beneficiary_28,37,Female,Ghaziabad,Food Distribution,2023,Mar,Below Poverty Line,2933,19,Ongoing
29,Beneficiary_29,16,Female,Kanpur,Food Distribution,2021,Feb,Below Poverty Line,5963,2,Ongoing
30,Beneficiary_30,26,Male,Agra,Food Distribution,2021,Dec,Middle Income,1083,14,Needs Follow-up
31,Beneficiary_31,48,Female,Lucknow,Food Distribution,2022,Jan,Below Poverty Line,9086,4,Successful
32,Beneficiary_32,29,Female,Agra,Health,2024,Jul,Low Income,4288,16,Successful
33,Beneficiary_33,53,Female,Agra,Health,2024,Jul,Low Income,4667,14,Successful
34,Beneficiary_34,31,Female,Ghaziabad,Health,2022,Dec,Below Poverty Line,8965,15,Ongoing
35,Beneficiary_35,46,Male,Lucknow,Health,2022,Feb,Middle Income,1889,3,Ongoing
36,Beneficiary_36,32,Female,Agra,Food Distribution,2021,Jul,Middle Income,8857,8,Successful
37,Beneficiary_37,20,Female,Kanpur,Clothing,2024,Aug,Below Poverty Line,6654,16,Ongoing
38,Beneficiary_38,19,Male,Kanpur,Education,2023,Jan,Below Poverty Line,5920,10,Successful
39,Beneficiary_39,51,Male,Varanasi,Food Distribution,2021,Sep,Low Income,9420,4,Successful
40,Beneficiary_40,55,Female,Lucknow,Education,2022,Jul,Below Poverty Line,2543,18,Successful
41,Beneficiary_41,48,Female,Lucknow,Clothing,2024,Mar,Middle Income,4697,2,Successful
42,Beneficiary_42,59,Female,Varanasi,Health,2023,Aug,Below Poverty Line,3996,17,Successful
43,Beneficiary_43,56,Female,Agra,Clothing,2023,Jul,Low Income,1278,13,Successful
44,Beneficiary_44,7,Female,Lucknow,Food Distribution,2021,Nov,Low Income,713,4,Successful
45,Beneficiary_45,41,Female,Kanpur,Health,2024,Aug,Low Income,4262,11,Ongoing
46,Beneficiary_46,55,Male,Kanpur,Food Distribution,2024,Jun,Low Income,7231,7,Successful
47,Beneficiary_47,11,Female,Ghaziabad,Health,2022,Sep,Low Income,3617,12,Successful
48,Beneficiary_48,25,Female,Lucknow,Education,2024,May,Below Poverty Line,6291,10,Ongoing
49,Beneficiary_49,13,Male,Agra,Education,2024,Mar,Below Poverty Line,9283,7,Ongoing
50,Beneficiary_50,43,Male,Varanasi,Education,2021,Mar,Below Poverty Line,3220,13,Ongoing
51,Beneficiary_51,22,Male,Varanasi,Clothing,2024,Jan,Below Poverty Line,9405,7,Successful
52,Beneficiary_52,8,Male,Agra,Food Distribution,2023,Dec,Low Income,9627,17,Needs Follow-up
53,Beneficiary_53,29,Female,Ghaziabad,Clothing,2021,Aug,Middle Income,6547,10,Needs Follow-up
54,Beneficiary_54,18,Female,Varanasi,Education,2021,Feb,Below Poverty Line,8532,10,Ongoing
55,Beneficiary_55,54,Female,Lucknow,Food Distribution,2022,Mar,Middle Income,501,4,Needs Follow-up
56,Beneficiary_56,13,Female,Ghaziabad,Education,2024,Aug,Below Poverty Line,6868,4,Ongoing
57,Beneficiary_57,30,Female,Lucknow,Clothing,2022,Aug,Below Poverty Line,2449,7,Successful
58,Beneficiary_58,57,Female,Kanpur,Clothing,2023,Nov,Middle Income,7232,1,Needs Follow-up
59,Beneficiary_59,6,Male,Ghaziabad,Clothing,2021,Apr,Low Income,8333,12,Successful
60,Beneficiary_60,24,Female,Varanasi,Education,2021,Apr,Below Poverty Line,1417,13,Needs Follow-up
61,Beneficiary_61,32,Male,Ghaziabad,Food Distribution,2021,May,Below Poverty Line,3674,10,Successful
62,Beneficiary_62,51,Male,Ghaziabad,Food Distribution,2023,Jun,Below Poverty Line,7514,15,Needs Follow-up
63,Beneficiary_63,11,Female,Ghaziabad,Education,2023,May,Middle Income,589,13,Successful
64,Beneficiary_64,48,Male,Ghaziabad,Food Distribution,2022,Jul,Low Income,2209,9,Successful
65,Beneficiary_65,12,Female,Lucknow,Education,2022,Feb,Middle Income,3541,9,Needs Follow-up
66,Beneficiary_66,51,Male,Kanpur,Food Distribution,2022,Jul,Middle Income,605,15,Successful
67,Beneficiary_67,39,Female,Agra,Health,2024,Oct,Low Income,9578,10,Successful
68,Beneficiary_68,18,Male,Ghaziabad,Health,2021,Jul,Middle Income,9119,10,Successful
69,Beneficiary_69,21,Female,Varanasi,Clothing,2021,Jan,Low Income,2395,8,Needs Follow-up
70,Beneficiary_70,40,Female,Ghaziabad,Health,2022,Jul,Below Poverty Line,6590,16,Needs Follow-up
71,Beneficiary_71,54,Female,Varanasi,Health,2021,May,Low Income,9008,17,Successful
